"","�..V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","opp","rid","RISN","Q_TotalDuration","isNew","viga","eid","V","uig","cintid","ProjectToken","Field","gc","term","LS","Q35","MascotSupport_1","MascotSupport_2","MascotSupport_3","MascotSupport_4","MascotSupport_5","MascotSupport2_1","MascotSupport2_2","MascotSupport2_3","MascotSupport2_4","MascotSupport2_5","MascotSupport2_6","MascotSupport2_7","MascotSupport2_8","MascotSupport2_9","MascotSupport2_10","Invis1_1","Invis1_2","Invis1_3","Invis2_1","Invis2_2","Invis2_3","Invis2_4","Invis2_5","Invis3_1","Invis3_2","Invis3_3","Invis3_4","Invis3_5","Invis3_6","Invis3_7","Invis3_8","Invis3_9","Invis4_1","Invis4_2","Invis4_3","Invis4_4","Invis4_5","Invis4_6","Invis4_7","Invis5_1","Invis5_2","Invis5_3","Invis5_4","Invis5_5","Invis5_6","Invis5_7","Invis5_8","Invis5_9","Invis5_10","Invis5_11","Invis5_12","Invis5_13","Invis6_1","Invis6_2","Invis6_3","Invis6_4","Invis6_5","Invis6_6","Invis6_7","Invis6_8","Invis6_9","Invis6_10","Identity1_1","Identity1_2","Identity1_3","Identity1_4","Identity1_5","Identity1_6","Identity1_7","Identity2_1","Identity2_2","Identity2_3","Identity2_4","Identity3_1","Identity3_2","Identity3_3","Identity3_4","Identity4_1","Identity4_2","Identity4_3","Identity4_4","Identity5_1","Identity5_2","Identity6_1","Identity6_2","Identity6_3","Identity6_4","Identity7_1","Identity7_2","Identity7_3","Identity7_4","Identity7_5","Identity7_6","Identity7_7","Identity8_1","Identity8_2","Identity8_3","Identity8_4","Identity8_5","Identity8_6","Identity8_7","Identity9_1","Identity9_2","Identity9_3","Identity9_4","Identity9_5","Identity9_6","Identity9_7","Identity9_8","Identity9_9","Identity9_10","Identity9_11","Identity9_12","Identity9_13","Identity9_14","Identity9_15","Identity9_16","Identity9_17","Q29","Q29_TEXT","Q30","Q37","Q31","Q32","Q33","Q34","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_7_TEXT","Q26","Tribe","X","ValidResponse","Q28","Q42","Q24","Q25","Q18","Q19","Q20","Q21","Q27","Q40","Q22","Q23","Q38","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","FilterOut","filter_."
"265","R_pfkRbHrO8uDoOrv","Default Response Set","Anonymous",NA,NA,"71.59.220.133",0,"10/14/2019 20:40","10/14/2019 20:46",1,"Qual2790-0826NativeAmerican2","5da53159-a526-2595-5e0f-ebef9b1bd33c",NA,359,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,1,4,1,1,4,7,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,7,1,7,7,4,7,1,4,1,4,4,4,4,1,1,1,1,1,1,1,1,1,7,7,1,1,7,1,4,4,7,1,4,1,4,1,1,1,1,1,4,4,1,7,2,NA,38,"98611",2,3,4,4,NA,NA,1,NA,NA,1,NA," ","cowlitz","Cowlitz",NA,NA,1,1,6,1,1,1,3,2,1,NA,3,2," ",1,46.14779663,-122.9710999,-1,0,1
"926","R_ROi3MjZtFDQvJzb","Default Response Set","Anonymous",NA,NA,"170.52.41.254",0,"9/25/2019 13:37","9/25/2019 13:51",1,"Qual2790-0826NativeAmerican2","5d8bc1c8-48a4-e788-99b8-ac7c6ae4c908",NA,833,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,7,1,4,3,1,1,1,4,3,1,1,2,4,6,1,1,NA,26,"92363",2,3,1,4,NA,NA,1,NA,NA,NA,NA," ","Apache","Apache",NA,NA,0,0,2,1,1,2,2,2,0,0,3,2,"No not really",1,34.78239441,-114.5870972,-1,0,1
"969","R_3GplTkhy8SVwbxQ","Default Response Set","Anonymous",NA,NA,"172.58.172.33",0,"10/15/2019 21:41","10/15/2019 21:52",1,"Qual2790-0826NativeAmerican2","5da69169-01fa-9cd2-6e44-7b30a8e978aa",NA,672,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,6,2,5,1,6,5,4,6,6,2,4,2,1,4,4,4,5,3,3,5,4,5,5,5,4,2,2,4,5,4,4,7,4,6,4,4,3,6,5,4,6,5,5,2,4,3,4,3,7,4,6,5,4,3,5,6,4,5,5,3,4,6,5,6,6,6,5,5,2,6,3,6,1,7,1,7,7,7,7,7,6,5,4,7,7,7,4,5,5,4,5,5,4,5,4,5,5,4,4,4,6,5,3,5,2,5,5,6,4,7,3,3,4,5,6,4,3,1,NA,4,"34221",2,2,1,2,NA,NA,NA,NA,NA,1,NA," ","The zeco",NA,NA,NA,1,1,4,1,1,1,1,1,1,NA,2,2,"None",1,28.55039978,-81.1832962,-1,0,1
"870","R_XjDKZRRAVN0psn7","Default Response Set","Anonymous",NA,NA,"216.169.77.70",0,"10/14/2019 18:31","10/14/2019 18:37",1,"Qual2790-0826NativeAmerican2","5da51311-d24c-8426-0076-67fb05620c3d",NA,350,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,2,2,6,2,5,2,6,2,5,5,4,2,2,2,6,5,4,6,6,5,5,5,4,5,5,4,6,5,6,6,6,4,3,5,4,7,6,7,5,7,7,7,7,7,6,7,7,5,7,6,7,7,2,6,6,6,6,1,3,7,5,6,5,6,6,6,4,6,6,5,4,6,6,5,6,6,6,5,4,5,5,5,6,6,6,6,6,2,4,4,4,6,4,6,5,5,5,7,5,4,6,5,5,6,4,5,5,6,7,6,6,4,4,5,6,2,5,3,2,NA,25,"86040",2,4,3,4,NA,NA,NA,NA,NA,1,NA," ","Navajo","Navajo",NA,NA,1,1,4,1,1,1,1,1,1,NA,1,1,"No",1,36.91470337,-111.4558029,-1,0,1
"1101","R_22QbhsfLupxuCRY","Default Response Set","Anonymous",NA,NA,"99.203.32.175",0,"10/14/2019 20:18","10/14/2019 20:31",1,"Qual2790-0826NativeAmerican2","5da52c33-c08f-1758-1746-54efb0534b2c",NA,762,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,1,1,1,1,7,7,5,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,4,4,4,4,5,4,5,3,2,5,3,5,7,1,7,7,7,4,1,6,2,3,5,6,3,5,1,1,3,1,5,5,4,4,4,1,3,4,2,5,3,3,1,1,2,3,5,3,6,2,NA,25,"37090",5,2,1,2,NA,NA,1,NA,NA,1,NA," ","Yuchi","Yuchi",NA,NA,1,1,5,1,1,1,2,2,1,NA,3,3,"Nothing",1,36.167099,-86.78610229,-1,0,1
"134","R_3CHH8RlSvQQ7FZ1","Default Response Set","Anonymous",NA,NA,"24.181.193.239",0,"10/24/2019 8:41","10/24/2019 8:58",1,"Qual2790-0826NativeAmerican2","5db1b7ed-b073-6f5d-6470-3989bfd792f4",NA,1020,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,6,1,5,6,3,2,4,2,1,6,5,4,7,7,4,5,3,6,2,4,4,2,6,7,7,6,5,6,6,6,5,4,4,4,6,6,6,4,6,6,4,6,6,4,4,4,7,2,7,6,6,2,2,2,2,6,1,6,2,7,6,6,7,7,7,5,6,6,5,7,2,3,1,7,1,7,4,6,4,2,7,2,4,7,6,6,2,1,1,2,1,3,2,4,5,4,3,4,4,4,3,4,2,7,5,1,3,5,1,5,1,4,3,4,4,2,1,2,NA,37,"28786",3,3,7,5,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,2,1,1,2,4,2,1,NA,4,2," ",1,35.50180054,-82.99130249,-1,0,1
"79","R_1gT2CNSDCa7M56w","Default Response Set","Anonymous",NA,NA,"99.12.167.124",0,"10/16/2019 14:34","10/16/2019 15:17",1,"Qual2790-0826NativeAmerican2","5da77ec7-6f1f-38b6-0392-fefda5812381",NA,2542,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,5,5,3,2,6,4,4,5,2,2,2,2,6,7,6,6,6,7,6,6,6,7,4,5,4,2,3,5,7,4,5,6,6,6,7,6,7,7,6,7,6,6,6,5,6,7,7,7,6,6,7,6,2,6,6,2,6,5,2,5,5,6,5,7,5,4,5,5,1,7,1,7,1,7,1,7,6,3,6,4,7,2,5,4,4,5,1,1,7,6,1,3,1,4,4,1,7,1,1,7,2,5,6,4,4,5,4,5,2,4,3,3,2,4,6,5,1,2,NA,19,"27601",3,4,1,4,NA,NA,1,1,NA,1,NA," ","cherokee","Cherokee",NA,NA,1,1,6,1,1,1,1,2,1,NA,2,3," ",1,35.77270508,-78.63240051,-1,0,1
"479","R_22GoxpYDyWSlUxi","Default Response Set","Anonymous",NA,NA,"73.12.56.183",0,"9/25/2019 13:30","9/25/2019 13:40",1,"Qual2790-0826NativeAmerican2","5d8bc025-6e83-7ca4-866d-bab91e15b20b",NA,611,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,NA,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,10,"24540",5,2,4,2,1,NA,NA,NA,NA,NA,NA," ","Tatee",NA,NA,NA,0,0,2,1,1,1,1,1,1,NA,1,2," ",1,36.62179565,-79.41239929,-1,0,1
"898","R_1Ok8SxwTu56cJu0","Default Response Set","Anonymous",NA,NA,"174.65.119.8",0,"9/25/2019 18:39","9/25/2019 18:56",1,"Qual2790-0826NativeAmerican2","5d8c0892-2409-58cd-c25c-a41b8a96525d",NA,1029,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,1,1,1,1,1,1,1,1,7,1,5,6,6,2,1,1,6,2,7,6,7,7,7,7,7,4,7,1,5,7,6,7,6,7,7,6,7,7,7,7,6,6,6,1,7,3,6,4,4,4,6,6,6,6,6,4,6,7,6,6,6,6,6,7,2,7,2,7,1,7,1,1,3,5,1,5,6,1,6,7,6,7,1,1,3,2,1,2,1,6,7,3,4,3,4,4,3,5,6,7,4,6,5,4,3,5,5,2,5,5,6,5,5,2,NA,15,"92103",7,2,6,6,NA,1,1,NA,NA,1,NA," ","Sioux","Sioux",NA,NA,1,1,5,1,1,1,3,2,1,NA,2,2,"No",1,32.74490356,-117.1650009,-1,0,1
"792","R_1QaRVWdHfY0cQE4","Default Response Set","Anonymous",NA,NA,"174.32.160.123",0,"9/25/2019 19:08","9/25/2019 19:16",1,"Qual2790-0826NativeAmerican2","5d8c0f6c-5d26-929c-6620-0df183f95f44",NA,470,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,4,4,5,4,4,5,5,5,4,5,4,4,5,4,4,4,7,4,4,4,5,4,4,4,2,5,4,3,4,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,23,"91384",4,4,1,5,NA,NA,1,NA,NA,NA,NA," ","Blackfoot","Blackfoot",NA,NA,1,1,4,1,0,1,2,3,1,NA,3,3,"No",1,37.75100708,-97.8219986,-1,0,1
